time,springDeflFL,springDeflFR,camberFL,camberFR,cmComFL,cmComFR,cmCamKinFL,cmCamKinFR,cmCamFL,cmCamFR,cmPitchCenterL,cmPitchCenterR
0,-9.74983029027225e-05,-9.76982788645332e-05,-2.88175538892972e-05,2.88766607443343e-05,8.81096866578446e-08,-1.33459138851322e-07,-2.14446749247088e-09,1.08541060583889e-08,1.81579864033665e-07,-1.73166171180128e-07,1.59539747238159,1.59540331363678
0.01,-9.27146337417207e-05,-0.000102493462424366,-2.74036457521136e-05,3.02939721900773e-05,4.96422626383719e-06,-4.70361874249647e-06,1.22403457680775e-06,1.16692615392822e-06,2.2313552108244e-06,1.8702006627791e-06,1.59530389308929,1.5954909324646
0.02,-8.3666456531563e-05,-0.000111337155842767,-2.47292778237428e-05,3.29079008850156e-05,1.34417259687325e-05,-1.22967103379779e-05,3.61018805961066e-06,3.30992065755709e-06,7.70196493249387e-06,7.14368297849433e-06,1.59512829780579,1.59564661979675
0.03,-7.37688406246964e-05,-0.000121163309304965,-2.18038414696735e-05,3.58122150986067e-05,2.25649200729094e-05,-2.04178668354871e-05,6.23708774583065e-06,5.6470480558346e-06,1.34186366267386e-05,1.2620499546756e-05,1.5949342250824,1.59581673145294
0.04,-6.37039275690181e-05,-0.000131044098173199,-1.88289571307892e-05,3.87326778882328e-05,3.19912360282615e-05,-2.89485997200245e-05,8.9377263066126e-06,8.088672075246e-06,1.7673943148111e-05,1.66421777976211e-05,1.59472858905792,1.5960009098053
0.05,-5.32636378571612e-05,-0.000141428671947851,-1.57431227887134e-05,4.18020442818917e-05,4.20816722908057e-05,-3.81417703465559e-05,1.18220214062603e-05,1.07183304862701e-05,2.0837565898546e-05,1.95627690118272e-05,1.59450340270996,1.59620463848114
0.06,-4.19961887226802e-05,-0.000152534042918187,-1.24128051015248e-05,4.50844565585201e-05,5.30467623320874e-05,-4.80798917124048e-05,1.49525521919713e-05,1.35606323965476e-05,2.36689702433068e-05,2.21158261410892e-05,1.59425640106201,1.59642720222473
0.07,-2.97540665957946e-05,-0.000164746730195588,-8.79440351290569e-06,4.86941580945641e-05,6.50709116598591e-05,-5.88731018069666e-05,1.83821903192438e-05,1.66457884915872e-05,2.67201303358888e-05,2.48374617513036e-05,1.59398531913757,1.59666883945465
0.0800000000000001,-1.61415574419751e-05,-0.000178102907004247,-4.77095690481319e-06,5.26418406026636e-05,7.83483119448647e-05,-7.06786595401354e-05,2.21667469304521e-05,2.00184567802353e-05,3.02801436191658e-05,2.80075382761424e-05,1.59368669986725,1.59693193435669
0.0900000000000001,-1.22555256181292e-06,-0.000193009446827995,-3.62236325584459e-07,5.70477635970614e-05,9.30553578655235e-05,-8.36550243548118e-05,2.63577057921793e-05,2.372489143454e-05,3.44644868164323e-05,3.17349986289628e-05,1.59335649013519,1.59721994400024
